unique_id,osmid,name,geometry,longitude,latitude,usage_count,POI_type,amenity
node/7419145927,7419145927,Kiosk Rheinshop,POINT (6.971563 50.9429665),6.971563,50.9429665,8441,POI_shop,
node/7435095951,7435095951,Parfümerie Becker,POINT (7.0778755 50.9452059),7.0778755,50.9452059,0,POI_shop,
node/7435095954,7435095954,Rheinland Tresore,POINT (7.0789196 50.945628),7.0789196,50.945628,0,POI_shop,
node/7435095956,7435095956,,POINT (7.0811766 50.9460437),7.0811766,50.9460437,0,POI_shop,
node/7443247261,7443247261,Team Bechera,POINT (7.1017264 50.8493011),7.1017264,50.8493011,0,POI_shop,
node/7448278651,7448278651,Back in Time,POINT (6.9121326 50.964804),6.9121326,50.964804,2254,POI_shop,
node/7449283297,7449283297,Kiosk Löhr,POINT (6.9466404 50.9839515),6.9466404,50.9839515,1497,POI_shop,
node/7470683417,7470683417,Mühlenz Schuhe,POINT (7.0341801 50.9661633),7.0341801,50.9661633,4,POI_shop,
node/7490579364,7490579364,Barber Shop-Gardi,POINT (6.9766166 50.9371056),6.9766166,50.9371056,8063,POI_shop,
node/7498352599,7498352599,Best Of Cologne,POINT (6.9414926 50.935169),6.9414926,50.935169,16784,POI_shop,
node/7508407928,7508407928,Rentas Mietgeräte,POINT (7.0555896 50.9762837),7.0555896,50.9762837,0,POI_shop,
node/7508407929,7508407929,Kleins Backstube,POINT (7.056054 50.9758881),7.056054,50.9758881,0,POI_shop,
node/7508658805,7508658805,Bäckerei Schneider,POINT (6.9588144 51.0251983),6.9588144,51.0251983,0,POI_shop,
node/7511107959,7511107959,Weinkellerei Karl Weber,POINT (7.0703237 50.9760631),7.0703237,50.9760631,0,POI_shop,
node/7511117634,7511117634,Beauty Sun,POINT (7.0714086 50.9781426),7.0714086,50.9781426,0,POI_shop,
node/7511975059,7511975059,Lehmannaudio,POINT (7.0744285 50.9832637),7.0744285,50.9832637,1,POI_shop,
node/7515123899,7515123899,Förster,POINT (7.0678381 50.9843088),7.0678381,50.9843088,0,POI_shop,
node/7537423046,7537423046,Metzgerei Tosun,POINT (6.9220111 50.9486278),6.9220111,50.9486278,7911,POI_shop,
node/7551663631,7551663631,Hofladen im Veedel,POINT (6.927191 50.9242123),6.927191,50.9242123,7089,POI_shop,
node/7572396271,7572396271,Kleins Backstube,POINT (7.0357061 50.9816807),7.0357061,50.9816807,1,POI_shop,
node/7572396272,7572396272,nelles,POINT (7.0349296 50.9821581),7.0349296,50.9821581,1,POI_shop,
node/7574908724,7574908724,Depo,POINT (7.0012545 50.9459764),7.0012545,50.9459764,1361,POI_shop,
node/7599880670,7599880670,Krauszeit,POINT (6.9084134 50.9274674),6.9084134,50.9274674,4277,POI_shop,
node/7625556931,7625556931,Blumenecke Schüller Blumen,POINT (6.9460462 50.9777413),6.9460462,50.9777413,917,POI_shop,
node/7625589622,7625589622,Blumen Henrich,POINT (6.9467234 50.9752662),6.9467234,50.9752662,1419,POI_shop,
node/7625612928,7625612928,Die Vier Raben,POINT (6.9441737 50.9820265),6.9441737,50.9820265,1250,POI_shop,
node/7626289789,7626289789,U wie Unverpackt,POINT (7.0007315 50.9636394),7.0007315,50.9636394,1774,POI_shop,
node/7626688553,7626688553,Louis Outlet Köln,POINT (6.9101858 50.9575081),6.9101858,50.9575081,2607,POI_shop,
node/7626867443,7626867443,,POINT (6.9452617 50.9857541),6.9452617,50.9857541,930,POI_shop,
node/7626867444,7626867444,,POINT (6.9453464 50.9857762),6.9453464,50.9857762,927,POI_shop,
node/7626867446,7626867446,,POINT (6.9454593 50.985808),6.9454593,50.985808,921,POI_shop,
node/7626867448,7626867448,Bäckerei Kraus,POINT (6.9456589 50.9858583),6.9456589,50.9858583,915,POI_shop,
node/7634783139,7634783139,Frank's Hair Team,POINT (6.9521623 50.9651462),6.9521623,50.9651462,6138,POI_shop,
node/7635176558,7635176558,Hermes Paketshop,POINT (6.9384099 50.9462698),6.9384099,50.9462698,4323,POI_shop,post_office
node/7638723879,7638723879,SponTronic,POINT (6.9509436 50.9609963),6.9509436,50.9609963,6195,POI_shop,
node/7638732148,7638732148,Annika Petri Haardesign,POINT (7.0794609 50.974549),7.0794609,50.974549,0,POI_shop,
node/7638748747,7638748747,Spielwerk,POINT (7.0019096 50.9633116),7.0019096,50.9633116,1824,POI_shop,
node/7638748750,7638748750,Jemalo Barbershop,POINT (7.0029438 50.9626913),7.0029438,50.9626913,1903,POI_shop,
node/7638766403,7638766403,Coiffeur Team Helena,POINT (7.075656 50.9747075),7.075656,50.9747075,0,POI_shop,
node/7638768671,7638768671,Lotto- und Cafékiosk - Tseliopoulos,POINT (6.9486921 50.9608464),6.9486921,50.9608464,4771,POI_shop,
node/7638795876,7638795876,Küche & Co,POINT (7.0751474 50.9715204),7.0751474,50.9715204,0,POI_shop,
node/7642486904,7642486904,HEIRO MÖBELSTOFFE,POINT (6.947162 50.9872158),6.947162,50.9872158,491,POI_shop,
node/7642655145,7642655145,Flohmarkt an der Pferderennbahn,POINT (6.9525389 50.984771),6.9525389,50.984771,459,POI_shop,marketplace
node/7647573444,7647573444,Bäckerei Mülder,POINT (6.9180588 50.9603681),6.9180588,50.9603681,1911,POI_shop,
node/7653386443,7653386443,MG Bike,POINT (7.0736265 50.9799344),7.0736265,50.9799344,1,POI_shop,
node/7653472045,7653472045,3DWanddesign,POINT (7.0733169 50.9802845),7.0733169,50.9802845,1,POI_shop,
node/7653472046,7653472046,Harthmuth Nußbaum,POINT (7.072438 50.9810902),7.072438,50.9810902,1,POI_shop,
node/7653552457,7653552457,Hairstyling Kornelia von Nassau,POINT (7.0763258 50.9806041),7.0763258,50.9806041,0,POI_shop,
node/7653590597,7653590597,LIFESTYLE,POINT (7.0784554 50.9816491),7.0784554,50.9816491,0,POI_shop,
node/7653930351,7653930351,Klein,POINT (7.0668698 50.9772234),7.0668698,50.9772234,0,POI_shop,
node/7658825130,7658825130,Duftkunsthandlung,POINT (6.9374522 50.9387694),6.9374522,50.9387694,19231,POI_shop,
node/7660986571,7660986571,Vita Verde,POINT (6.9642692 50.9205296),6.9642692,50.9205296,8312,POI_shop,
node/7671669658,7671669658,Indian Design Botique,POINT (6.9481264 50.9350007),6.9481264,50.9350007,12652,POI_shop,
node/7671669663,7671669663,Blauer Mauritius,POINT (6.9460809 50.9328913),6.9460809,50.9328913,7255,POI_shop,
node/7671840261,7671840261,Elektrische Tätowierungen,POINT (6.9461579 50.9336905),6.9461579,50.9336905,9175,POI_shop,
node/7671840262,7671840262,Marina Fish Spa & Waxing Köln,POINT (6.9473738 50.9339499),6.9473738,50.9339499,11099,POI_shop,
node/7672716924,7672716924,Schneider Rad-Service,POINT (6.9479534 50.9309418),6.9479534,50.9309418,5117,POI_shop,
node/7676405554,7676405554,Tattoo-Legende,POINT (7.089959 50.8581975),7.089959,50.8581975,1,POI_shop,
node/7677802166,7677802166,Telekom Shop,POINT (6.954248 50.9612917),6.954248,50.9612917,6350,POI_shop,
node/7682559585,7682559585,CariLädchen,POINT (6.9073447 50.9667126),6.9073447,50.9667126,1348,POI_shop,
