id,provider,vehicleType,date_start,time_start,date_end,time_end,year,month,weekday,hour,weekend,longitude_start,latitude_start,longitude_end,latitude_end,coordinates_start,coordinates_end,distance,duration,speed
YmlrZTo6Zm9yZHBhc3M6OjE3OTU1NQ==,fordpass,bicycle,2019-11-19,650,2019-11-20,225,2019,11,1,6,0,6.962477000000002,50.942497,6.955662299999998,50.924847,"(50.9425, 6.9625)","(50.9248, 6.9557)",2019.8592989079245,70501.0,0.10314028845078124
YmlrZTo6Zm9yZHBhc3M6OjE3OTY2Mg==,fordpass,bicycle,2019-11-19,650,2019-11-19,755,2019,11,1,6,0,6.9744077,50.962307,6.958625,50.964737,"(50.9623, 6.9744)","(50.9647, 6.9586)",1137.847444638459,3903.0,1.04951340012771
YmlrZTo6Zm9yZHBhc3M6OjE2Njk2NA==,fordpass,bicycle,2019-11-19,650,2019-11-19,1640,2019,11,1,6,0,6.9464417,50.928776,6.921191,50.943497,"(50.9288, 6.9464)","(50.9435, 6.9212)",2410.446855171731,35401.0,0.2451232642755355
YmlrZTo6Zm9yZHBhc3M6OjE2NjU1NQ==,fordpass,bicycle,2019-11-19,650,2019-11-19,1855,2019,11,1,6,0,6.915332,50.9303,6.929853,50.928352,"(50.9303, 6.9153)","(50.9284, 6.9299)",1040.4843343327232,43502.0,0.08610508950388036
YmlrZTo6Zm9yZHBhc3M6OjE2NzM5MA==,fordpass,bicycle,2019-11-19,700,2019-11-20,225,2019,11,1,7,0,6.957402,50.92063,6.8966117,50.942852,"(50.9206, 6.9574)","(50.9429, 6.8966)",4924.938062982329,69900.0,0.2536448787802058
YmlrZTo6Zm9yZHBhc3M6OjE2Njg3NQ==,fordpass,bicycle,2019-11-19,705,2019-11-19,725,2019,11,1,7,0,6.958140400000001,50.961533,6.9600425,50.93947,"(50.9615, 6.9581)","(50.9395, 6.96)",2456.912878359959,1200.0,7.370738635079877
YmlrZTo6Zm9yZHBhc3M6OjE3OTQwNw==,fordpass,bicycle,2019-11-19,710,2019-11-20,710,2019,11,1,7,0,6.928253,50.943268,6.9192004,50.918068,"(50.9433, 6.9283)","(50.9181, 6.9192)",2873.0378746965916,86399.0,0.11971129699311021
YmlrZTo6Zm9yZHBhc3M6OjE4NjgxOA==,fordpass,bicycle,2019-11-19,710,2019-11-19,815,2019,11,1,7,0,6.937997,50.94213,6.9298899999999986,50.92497,"(50.9421, 6.938)","(50.925, 6.9299)",1990.8874799334344,3898.0,1.8386852046588926
YmlrZTo6Zm9yZHBhc3M6OjE3OTU1OQ==,fordpass,bicycle,2019-11-19,710,2019-11-19,1205,2019,11,1,7,0,6.9489600000000005,50.936398,6.928035,50.944336,"(50.9364, 6.949)","(50.9443, 6.928)",1711.349213092653,17699.0,0.34809069253254704
YmlrZTo6Zm9yZHBhc3M6OjE2NzE5Mg==,fordpass,bicycle,2019-11-19,710,2019-11-19,1415,2019,11,1,7,0,6.946503599999999,50.931885,6.957064599999999,50.942844,"(50.9319, 6.9465)","(50.9428, 6.9571)",1425.691123706562,25500.0,0.20127404099386756
YmlrZTo6Zm9yZHBhc3M6OjE3OTM1OA==,fordpass,bicycle,2019-11-19,720,2019-11-20,225,2019,11,1,7,0,6.901640400000002,50.95274000000001,6.903803999999999,50.95287,"(50.9527, 6.9016)","(50.9529, 6.9038)",152.24471792309055,68700.0,0.007977889148808238
YmlrZTo6Zm9yZHBhc3M6OjE3OTg1Mw==,fordpass,bicycle,2019-11-19,720,2019-11-19,740,2019,11,1,7,0,6.9374323,50.938644,6.9490557,50.924576,"(50.9386, 6.9374)","(50.9246, 6.9491)",1763.6721908297754,1200.0,5.291016572489326
YmlrZTo6Zm9yZHBhc3M6OjE2NjUxNw==,fordpass,bicycle,2019-11-19,720,2019-11-19,745,2019,11,1,7,0,6.9522805,50.9282,6.9658895,50.951797,"(50.9282, 6.9523)","(50.9518, 6.9659)",2791.7660644122443,1499.0,6.704708360162829
YmlrZTo6Zm9yZHBhc3M6OjE3OTg5MQ==,fordpass,bicycle,2019-11-19,720,2019-11-19,750,2019,11,1,7,0,6.953022,50.91921,6.904457000000002,50.937405,"(50.9192, 6.953)","(50.9374, 6.9045)",3959.6051447308787,1816.0,7.849437511581037
YmlrZTo6Zm9yZHBhc3M6OjE2NzIzMA==,fordpass,bicycle,2019-11-19,720,2019-11-19,815,2019,11,1,7,0,6.975134,50.933422,6.9869018,50.935436,"(50.9334, 6.9751)","(50.9354, 6.9869)",854.5100566710828,3299.0,0.9324753573858436
YmlrZTo6Zm9yZHBhc3M6OjE3ODg2Nw==,fordpass,bicycle,2019-11-19,720,2019-11-19,1710,2019,11,1,7,0,6.931357000000001,50.954994,6.933222,50.94058,"(50.955, 6.9314)","(50.9406, 6.9332)",1608.0824276148246,35404.0,0.16351532988965564
YmlrZTo6Zm9yZHBhc3M6OjE4Njc0NQ==,fordpass,bicycle,2019-11-19,725,2019-11-20,225,2019,11,1,7,0,6.9198976,50.953957,6.939998599999999,50.945408,"(50.954, 6.9199)","(50.9454, 6.94)",1698.9730191441836,68400.0,0.08941963258653597
YmlrZTo6Zm9yZHBhc3M6OjE3OTY1OQ==,fordpass,bicycle,2019-11-19,725,2019-11-19,820,2019,11,1,7,0,6.9321804,50.954884,6.978115,50.92774,"(50.9549, 6.9322)","(50.9277, 6.9781)",4412.3005311036895,3300.0,4.813418761204026
YmlrZTo6Zm9yZHBhc3M6OjE2NjY5MA==,fordpass,bicycle,2019-11-19,725,2019-11-19,945,2019,11,1,7,0,6.9232130000000005,50.922955,6.939441,50.933975,"(50.923, 6.9232)","(50.934, 6.9394)",1671.8487162858428,8400.0,0.7165065926939327
YmlrZTo6Zm9yZHBhc3M6OjE4MDI1MQ==,fordpass,bicycle,2019-11-19,730,2019-11-19,920,2019,11,1,7,0,6.9719696,50.91412,6.940625,50.91726,"(50.9141, 6.972)","(50.9173, 6.9406)",2224.9609832420547,6601.0,1.2134312285519462
YmlrZTo6Zm9yZHBhc3M6OjE4MDQ1OA==,fordpass,bicycle,2019-11-19,740,2019-11-19,800,2019,11,1,7,0,6.959165,50.967632,6.9656296000000015,50.972015,"(50.9676, 6.9592)","(50.972, 6.9656)",665.1596680281616,1201.0,1.9938174895098935
